FIRST,LAST,TEAM,AGE,HEIGHT,INCHES,TOTAL_HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Jake,LaRavia,MEM,21,6,7,79,235,Wake Forest,USA,2022,1,19,35,22,13,11.8,3,1.1,2.7,38.9,0.7,2,33.8,0.2,0.3,77.8,0.5,1.3,1.8,0.6,0.5,0.3,0.1,1.4,6.9,0,0,-2.2,-7.6,4.4,10,11.7,53.1,6.8
Zach,LaVine,CHI,28,6,5,77,200,UCLA,USA,2014,1,13,77,38,39,35.9,24.8,8.7,18,48.5,2.6,7.1,37.5,4.7,5.6,84.8,0.5,3.9,4.5,4.2,2.5,0.9,0.2,2.1,37.5,2,0,0.2,0.3,1.6,10.8,27.8,60.7,18.7
A.J.,Lawson,DAL,22,6,6,78,179,South Carolina,Canada,Undrafted,Undrafted,Undrafted,15,5,10,7.2,3.7,1.5,2.9,50,0.7,1.7,40,0.1,0.5,25,0.4,1,1.4,0.1,0.2,0.1,0,0.7,5.8,0,0,-3.1,-20.1,4.6,15.2,18.9,58.9,3.2
Damion,Lee,PHX,30,6,5,77,210,Drexel,USA,Undrafted,Undrafted,Undrafted,74,40,34,20.4,8.2,2.7,6.1,44.2,1.5,3.3,44.5,1.3,1.4,90.4,0.5,2.5,3,1.3,1.1,0.4,0.1,1.6,14.3,0,0,1.1,2.7,2.4,12.4,15.5,60.7,9.2
Saben,Lee,PHX,24,6,2,74,183,Vanderbilt,USA,2020,2,38,25,15,10,14.9,6,2,4.8,40.5,0.4,1.2,36.7,1.7,2.3,73.7,0.5,1.3,1.8,2.7,1,0.8,0,1.3,13.7,1,0,-1.2,-4.4,3,8.2,18.4,51.7,27.8
Alex,Len,SAC,30,7,2,86,250,Maryland,Ukraine,2013,1,5,26,15,11,6.2,1.7,0.6,1.2,53.3,0,0.1,0,0.4,0.6,68.8,0.9,1.4,2.3,0.5,0.6,0.2,0.4,1.1,6.2,0,0,0.7,6.6,14.3,19.4,13.2,58,9.9
Kawhi,Leonard,LAC,32,6,7,79,225,San Diego State,USA,2011,1,15,52,33,19,33.6,23.8,8.6,16.8,51.2,2,4.8,41.6,4.7,5.4,87.1,1.1,5.4,6.5,3.9,1.7,1.4,0.5,1.6,41.6,4,0,4.2,6.1,3.4,16,26.7,62.3,19
Meyers,Leonard,MIL,31,7,1,85,260,Illinois,USA,2012,1,11,9,6,3,12.6,4.8,1.6,3.2,48.3,0.8,2,38.9,0.9,1,88.9,1.3,2.4,3.8,0.1,0.7,0.2,0,1.8,9.5,1,0,-3,-12.5,10.3,19.5,14,65.2,1.2
Caris,LeVert,CLE,28,6,6,78,205,Michigan,USA,2016,1,20,74,45,29,30.2,12.1,4.3,10,43.1,1.7,4.4,39.2,1.8,2.4,72.2,0.7,3.1,3.8,3.9,1.6,1,0.3,2.3,24.8,1,0,2.6,4.5,2.4,10.5,18.3,54.6,18.2
Kira,Lewis Jr.,NOP,22,6,1,73,170,Alabama,USA,2020,1,13,25,11,14,9.4,4.6,1.6,3.5,45.5,0.6,1.4,44.1,0.8,0.9,86.4,0.2,1.1,1.3,0.9,0.4,0.4,0.1,1,8.6,0,0,2.5,11.2,2.1,10.9,19.2,58.4,13.7
Damian,Lillard,POR,32,6,2,74,195,Weber State,USA,2012,1,6,58,27,31,36.3,32.2,9.6,20.7,46.3,4.2,11.3,37.1,8.8,9.6,91.4,0.8,4,4.8,7.3,3.3,0.9,0.3,1.9,49.1,16,2,1.8,2.1,2.2,11.2,33.1,64.5,33.8
Nassir,Little,POR,23,6,5,77,220,North Carolina,USA,2019,1,25,54,22,32,18.1,6.6,2.5,5.6,44.2,1.1,2.9,36.7,0.6,0.9,71.7,0.5,2.1,2.6,0.9,0.7,0.4,0.4,1.2,12.7,0,0,-3.5,-8.8,2.8,12.2,15.8,55.5,7.5
Isaiah,Livers,DET,24,6,6,78,232,Michigan,USA,2021,2,42,52,10,42,23.1,6.7,2.3,5.5,41.7,1.4,3.9,36.5,0.6,0.8,82.1,0.5,2.2,2.8,0.8,0.6,0.5,0.5,2,13.8,1,0,-3.9,-7.8,2.3,9.6,11.7,56.7,4.8
Kenneth,Lofton Jr.,MEM,20,6,6,78,275,Louisiana Tech,USA,Undrafted,Undrafted,Undrafted,24,15,9,7.3,5,2,3.9,52.7,0.3,0.7,35.3,0.7,1.1,59.3,0.8,1.3,2.1,0.8,0.5,0.2,0.1,1.2,9.2,1,0,-2,-13.4,9.7,19.8,26.7,57.2,19.8
Kevon,Looney,GSW,27,6,9,81,222,UCLA,USA,2015,1,30,82,44,38,23.9,7,3,4.7,63,0,0,0,1.1,1.9,60.6,3.3,5.9,9.3,2.5,0.5,0.6,0.6,2.7,25.1,14,0,1.9,4.4,13.5,23.4,10.4,63.9,13.6
Brook,Lopez,MIL,35,7,1,85,282,Stanford,USA,2008,1,10,78,57,21,30.4,15.9,6.1,11.5,53.1,1.7,4.7,37.4,1.9,2.4,78.4,2,4.7,6.7,1.3,1.4,0.5,2.5,2.6,33.3,11,0,5.1,7.1,6.4,13.5,18.7,63,6
Robin,Lopez,CLE,35,7,1,85,281,Stanford,USA,2008,1,15,37,25,12,8.1,3,1.3,2,64,0.1,0.1,50,0.4,0.5,77.8,0.6,0.8,1.4,0.5,0.7,0.1,0.2,1.2,5.6,0,0,-1.6,-8.7,7.5,9.7,15.6,67.5,10.5
Kevin,Love,MIA,34,6,8,80,251,UCLA,USA,2008,1,5,62,35,27,20,8.2,2.7,6.8,38.9,1.6,4.8,33.4,1.3,1.5,87.9,1,5.5,6.4,1.9,1.1,0.3,0.2,1.6,19,6,0,1.8,3.9,5,28.7,18.5,54.8,13.1
Kyle,Lowry,MIA,37,6,1,73,196,Villanova,USA,2006,1,24,55,30,25,31.2,11.2,3.6,8.8,40.4,1.9,5.6,34.5,2.1,2.5,85.9,0.8,3.3,4.1,5.1,1.9,1,0.4,2.6,26.1,2,1,1,1.1,2.5,11.2,16.2,56.5,23.3
Trey,Lyles,SAC,27,6,9,81,234,Kentucky,Canada,2015,1,12,74,43,31,16.9,7.6,2.5,5.5,45.8,1.2,3.2,36.3,1.4,1.7,81.5,0.9,3.1,4.1,0.9,0.9,0.4,0.4,1.3,15.3,1,0,1.4,4,5.4,18.4,17.4,60.7,7.3
Theo,Maledon,CHA,22,6,5,77,175,None,France,2020,2,34,44,14,30,19.4,6.7,2.3,5.8,40.2,0.6,2.2,29.5,1.4,1.7,85.1,0.3,2.5,2.8,3.5,1.3,0.8,0.3,1.4,17.2,1,0,-3.3,-8.9,1.6,12.8,16.6,51.5,24.7
Sandro,Mamukelashvili,SAS,24,6,10,82,240,Seton Hall,Georgia,2021,2,54,43,23,20,15.3,6.1,2.3,5.3,42.2,0.7,2.3,30.3,0.9,1.3,68.4,1.6,2.7,4.3,1.4,0.8,0.3,0.3,1.2,14.4,2,0,-2.7,-10.1,9.3,17.8,17.7,51.6,13.4
Terance,Mann,LAC,26,6,5,77,215,Florida State,USA,2019,2,48,81,44,37,23.1,8.8,3.4,6.5,51.9,1,2.4,38.9,1.1,1.5,78,1,2.5,3.4,2.3,1,0.5,0.3,1.8,17.7,1,0,0,0.3,4.2,10.7,14.9,61.9,13.9
Tre,Mann,OKC,22,6,3,75,178,Florida,USA,2021,1,18,67,31,36,17.7,7.7,2.9,7.5,39.3,1.2,3.8,31.5,0.6,0.8,76.4,0.4,1.9,2.3,1.8,0.9,0.6,0.2,1.5,14.5,1,1,0.9,1,2.1,10.4,20,49.2,14.4
Boban,Marjanovic,HOU,34,7,4,88,290,None,Serbia,Undrafted,Undrafted,Undrafted,31,7,24,5.5,3.3,1.3,1.9,68.3,0,0,0,0.6,0.9,74.1,0.6,1.3,1.9,0.3,0.5,0.2,0.1,0.3,6.3,0,0,2.1,18.5,12.1,22.6,20.6,71,7.9
Lauri,Markkanen,UTA,26,7,1,85,240,Arizona,Finland,2017,1,7,66,32,34,34.4,25.6,8.7,17.3,49.9,3,7.7,39.2,5.3,6,87.5,2,6.7,8.6,1.9,1.9,0.6,0.6,2.1,40.5,28,0,2.5,3.8,5.5,18.3,25.9,64.1,8.6
Naji,Marshall,NOP,25,6,7,79,220,Xavier,USA,Undrafted,Undrafted,Undrafted,77,40,37,23.3,9.1,3.2,7.4,43.3,0.9,2.8,30.3,1.8,2.3,78.9,0.6,3,3.6,2.5,1.3,0.7,0.2,1.5,18.5,0,0,0.1,-0.1,2.7,13.2,17.2,53.9,14.7
Caleb,Martin,MIA,27,6,5,77,205,Nevada,USA,Undrafted,Undrafted,Undrafted,71,38,33,29.3,9.6,3.6,7.7,46.4,1.2,3.3,35.6,1.3,1.6,80.5,1.2,3.6,4.8,1.6,1.1,1,0.4,2,21.1,2,0,-0.1,0,4.4,13,14.3,57.1,8.2
Cody,Martin,CHA,27,6,6,78,205,Nevada,USA,2019,2,36,7,2,5,19.1,5,2,5.1,38.9,0.4,2,21.4,0.6,1,57.1,1.1,2.3,3.4,1.6,0.3,0.6,0.1,1.9,13.3,0,0,-3.7,-9.7,5.6,10.9,12.1,44.8,11.1
Tyrese,Martin,ATL,24,6,6,78,215,Connecticut,USA,2022,2,51,16,10,6,4.1,1.3,0.6,1.4,39.1,0.1,0.4,14.3,0.1,0.1,100,0.3,0.4,0.8,0.1,0.1,0.1,0,0.1,2.5,0,0,0.1,2.3,6.5,10.9,16.4,44,4.4
Kenyon,Martin Jr.,HOU,22,6,7,79,215,None,USA,2020,2,52,82,22,60,28,12.7,5,8.8,56.9,0.8,2.6,31.5,1.8,2.7,68,1.5,4,5.5,1.5,1.1,0.5,0.4,1.8,23,5,0,-4.5,-8,5.2,14.3,16,63.5,7.9
Garrison,Mathews,ATL,26,6,6,78,215,Lipscomb,USA,Undrafted,Undrafted,Undrafted,54,16,38,12.7,4.8,1.4,3.7,36.3,1.2,3.3,35,0.9,1,90.6,0.2,1.1,1.4,0.5,0.4,0.4,0.1,1.1,8.4,0,0,-1.6,-6.4,1.4,8.2,13.9,57.3,5.7
Bennedict,Mathurin,IND,21,6,5,77,210,Arizona,Canada,2022,1,6,78,33,45,28.5,16.7,5.3,12.2,43.4,1.3,4,32.3,4.8,5.8,82.8,1.1,3,4.1,1.5,1.9,0.6,0.2,2.1,24.2,0,0,-2.3,-4.3,3.7,10.3,23.5,56.6,7.8
Wesley,Matthews,MIL,36,6,5,77,220,Marquette,USA,Undrafted,Undrafted,Undrafted,52,37,15,15.8,3.4,1.1,3.1,36.3,0.8,2.4,31.5,0.5,0.5,85.7,0.7,1.5,2.2,0.7,0.3,0.4,0.3,1.4,8.6,0,0,1,2.8,4,8.7,9.5,51.9,5.3
Tyrese,Maxey,PHI,22,6,2,74,200,Kentucky,USA,2020,1,21,60,39,21,33.6,20.3,7.3,15.2,48.1,2.7,6.2,43.4,3,3.6,84.5,0.4,2.6,2.9,3.5,1.3,0.8,0.1,2.2,30.6,0,0,4,5.4,1.2,7.9,23.6,60.5,16.7
Skylar,Mays,POR,25,6,4,76,205,Louisiana State,USA,2020,2,50,6,1,5,31.5,15.3,5.7,11.3,50,2,4.3,46.2,2,2.2,92.3,0.3,2.8,3.2,8.3,1.7,1,0.2,1.8,33.5,1,0,-12.3,-16.3,1,9.7,18.2,62.4,36.8
Miles,McBride,NYK,22,6,2,74,195,West Virginia,USA,2021,2,36,64,36,28,11.9,3.5,1.2,3.4,35.8,0.6,2.1,29.9,0.4,0.7,66.7,0.2,0.6,0.8,1.1,0.4,0.6,0.1,0.9,7.8,0,0,0.8,3.6,1.6,4.7,14.1,47.5,13
Mac,McClung,PHI,24,6,2,74,185,Texas Tech,USA,Undrafted,Undrafted,Undrafted,2,2,0,20.5,12.5,4.5,10,45,2,5.5,36.4,1.5,2.5,60,1.5,3.5,5,4.5,1.5,0,0,1.5,23.8,0,0,9,19.6,7.3,15.2,24.3,56.3,29
CJ,McCollum,NOP,31,6,3,75,190,Lehigh,USA,2013,1,10,75,38,37,35.3,20.9,7.8,17.9,43.7,2.8,7.2,38.9,2.4,3.2,76.9,0.7,3.6,4.4,5.7,2.4,0.9,0.5,2,36.6,6,0,0.8,1.1,2.1,10.4,26,54.1,24.2
T.J.,McConnell,IND,31,6,1,73,190,Arizona,USA,2015,0,,75,31,44,20.4,8.7,3.8,6.9,54.3,0.3,0.8,44.1,0.8,0.9,85.3,0.6,2.5,3.1,5.3,1.9,1.1,0.1,1.4,22.1,6,1,-0.8,-2.4,2.8,12.3,18.2,59,39
Jaden,McDaniels,MIN,22,6,9,81,185,Washington,USA,2020,1,28,79,41,38,30.6,12.1,4.7,9.1,51.7,1.4,3.4,39.8,1.3,1.8,73.6,1.2,2.7,3.9,1.9,1.4,0.9,1,3.4,23.8,0,0,0.9,2,3.9,8.6,15.6,61.1,8.2
Jalen,McDaniels,PHI,25,6,9,81,205,San Diego State,USA,2019,2,52,80,31,49,23.9,9.4,3.5,7.7,45.5,1,2.9,33.2,1.5,1.7,84.1,0.8,3.5,4.3,1.6,1.2,1,0.4,2.6,20.3,3,0,-1.9,-3.4,3.1,14.5,16.5,55.7,9.4
Doug,McDermott,SAS,31,6,6,78,225,Creighton,USA,2014,1,11,64,19,45,20.5,10.2,3.7,8.2,45.7,1.9,4.7,41.3,0.8,1.1,75.7,0.4,1.8,2.2,1.4,0.9,0.2,0.1,1.8,14.9,0,0,-3.7,-9.7,1.6,8.5,18.6,59,9.8
JaVale,McGee,DAL,35,7,1,85,270,Nevada,USA,2008,1,18,42,20,22,8.4,4.4,1.9,3,64,0,0.1,40,0.6,1,58.5,0.7,1.8,2.5,0.3,0.9,0.1,0.6,1.3,9.2,0,0,-1.4,-7.3,8.6,19.9,21.4,65,5.1
Bryce,McGowens,CHA,20,6,6,78,175,Nebraska,USA,2022,2,40,46,16,30,17.1,5.3,1.7,4.4,39.6,0.6,1.7,32.5,1.3,1.7,75,0.4,1.6,2,1.2,0.9,0.3,0.1,1,10,0,0,-3.3,-9.7,2.5,8.8,14.7,51.9,9.8
Rodney,McGruder,DET,31,6,4,76,205,Kansas State,USA,Undrafted,Undrafted,Undrafted,32,4,28,16.4,5.7,1.9,4.8,40.8,1.3,3,42.3,0.6,0.7,81.8,0.6,1.7,2.3,0.9,0.3,0.5,0,1.2,11.1,0,0,-1.4,-3.5,3.5,10.9,13.5,56.6,7.1
Jordan,McLaughlin,MIN,27,6,1,73,185,Southern California,USA,Undrafted,Undrafted,Undrafted,43,22,21,15.8,3.7,1.4,3.4,42.1,0.6,1.8,30.8,0.3,0.4,83.3,0.3,1.1,1.4,3.4,0.8,0.7,0.1,0.7,12.4,0,0,2,5.8,2.2,6.5,11.2,52.6,26.4
De'Anthony,Melton,PHI,25,6,2,74,200,Southern California,USA,2018,2,46,77,50,27,27.9,10.1,3.6,8.5,42.5,2,5.2,39,0.9,1.1,79.3,0.9,3.2,4.1,2.6,1.3,1.6,0.5,2.5,24,0,0,1.3,2.7,3.4,11.4,16.2,56.6,13.3
Sam,Merrill,CLE,27,6,4,76,205,Utah State,USA,2020,2,60,5,4,1,11.7,5,1.8,4.4,40.9,1,3.6,27.8,0.4,0.4,100,0,1.8,1.8,1,0,0.8,0,0.6,11.1,0,0,-1,-3.3,0,16.7,17.7,54.6,14.3
Chimezie,Metu,SAC,26,6,9,81,225,Southern California,USA,2018,2,49,66,41,25,10.4,4.9,2,3.3,58.9,0.1,0.6,23.7,0.8,1.1,74,0.7,2.3,3,0.6,0.5,0.3,0.3,1.2,10.8,0,0,1.3,6.7,6.8,20.6,16.8,63.9,8
Khris,Middleton,MIL,31,6,7,79,222,Texas A&M,USA,2012,2,39,33,25,8,24.3,15.1,5.4,12.3,43.6,1.5,4.9,31.5,2.8,3.1,90.2,0.8,3.4,4.2,4.9,2.2,0.7,0.2,2.1,28,4,0,4,6.1,3.4,12.2,25.9,55.1,28.8
Patty,Mills,BKN,34,6,1,73,180,St. Mary's,Australia,2009,2,55,40,18,22,14.2,6.2,2.2,5.2,41.1,1.2,3.4,36.6,0.6,0.8,83.3,0.2,0.9,1.1,1.4,0.8,0.4,0.1,0.8,10.2,0,0,-1.7,-5.8,1.4,6.2,18.2,55.4,13.6
Shake,Milton,PHI,26,6,5,77,205,Southern Methodist,USA,2018,2,54,76,52,24,20.6,8.4,3.2,6.6,47.9,0.7,1.9,37.8,1.3,1.5,85.3,0.5,2,2.5,3.2,1.2,0.3,0.2,1.6,16.4,3,0,1.9,3.9,2.6,9.6,17.5,57.5,21.3
Justin,Minaya,POR,24,6,7,79,210,Providence,USA,Undrafted,Undrafted,Undrafted,4,0,4,22.2,4.3,1.8,5.8,30.4,0.8,3,25,0,0.3,0,0.8,3,3.8,1,1,0.5,1.3,2.3,14.5,0,0,-5,-12,3,13.5,12.3,36.3,5.6
Josh,Minott,MIN,20,6,8,80,205,Memphis,USA,2022,2,45,15,7,8,6.4,3.1,1.2,2.4,50,0.1,0.4,33.3,0.5,0.5,100,0.3,1.3,1.7,0.3,0.2,0.3,0.4,0.7,7.4,1,0,1.6,10.4,5.4,19.4,17.6,58.2,6.5
Davion,Mitchell,SAC,24,6,1,73,202,Baylor,USA,2021,1,9,80,47,33,18.1,5.6,2.3,5,45.4,0.8,2.5,32,0.3,0.4,80.6,0.2,1.1,1.3,2.3,0.8,0.6,0.2,1.4,12.1,0,0,0,2.7,1.2,6.2,14,54.5,17.3
Donovan,Mitchell,CLE,26,6,1,73,215,Louisville,USA,2017,1,13,68,44,24,35.8,28.3,10,20.6,48.4,3.6,9.3,38.6,4.7,5.4,86.7,0.9,3.3,4.3,4.4,2.6,1.5,0.4,2.5,42.9,5,0,5,5.9,2.7,9.7,31,61.4,20.5
Evan,Mobley,CLE,22,6,11,83,215,Southern California,USA,2021,1,3,79,48,31,34.4,16.2,6.6,12,55.4,0.3,1.3,21.6,2.6,3.8,67.4,2.4,6.6,9,2.8,1.8,0.8,1.5,2.8,36.2,24,0,4.3,6.5,7.3,20,19.9,59.1,12.2
Isaiah,Mobley,CLE,23,6,8,80,238,Southern California,USA,2022,2,49,12,8,4,7,2.6,1,2.3,42.9,0.3,0.7,37.5,0.3,0.3,100,0.3,1.3,1.7,0.3,0.1,0.3,0.3,0.7,6.6,0,0,2.6,19.8,5.3,17.4,16.6,52.1,5.4
Chima,Moneke,SAC,27,6,5,77,223,Cal-Davis,Nigeria,Undrafted,Undrafted,Undrafted,2,1,1,4,1,0.5,1,50,0,0,0,0,1,0,1,0,1,0.5,1,0,0,1,2,0,0,-4.5,-57.2,25,0,25,34.7,25
Malik,Monk,SAC,25,6,3,75,200,Kentucky,USA,2017,1,11,77,47,30,22.3,13.5,4.6,10.3,44.8,1.9,5.2,35.9,2.4,2.7,88.9,0.4,2.2,2.6,3.9,1.9,0.6,0.3,1.6,23.3,0,0,0.9,1,1.9,9.7,24.7,58.7,25.8
Moses,Moody,GSW,21,6,5,77,211,Arkansas,USA,2021,1,14,63,37,26,13,4.8,1.7,3.6,47.6,0.8,2.1,36.3,0.6,0.8,69.8,0.4,1.2,1.7,0.8,0.5,0.3,0.1,0.9,8.7,0,0,-0.1,-0.6,3.4,9.1,14.1,60.3,8.5
Xavier,Moon,LAC,28,6,1,73,165,Morehead State,USA,Undrafted,Undrafted,Undrafted,4,2,2,4.9,1.8,0.8,2.3,33.3,0.3,0.8,33.3,0,0,0,0,0.8,0.8,1.3,0.3,0,0,0.5,4.3,0,0,0.8,9.8,0,15,23.3,38.9,45.5
Wendell,Moore Jr.,MIN,21,6,5,77,215,Duke,USA,2022,1,26,29,16,13,5.3,1.4,0.6,1.5,41.9,0.1,0.6,11.8,0.1,0.2,80,0.1,0.5,0.6,0.6,0.3,0.3,0.2,0.4,4.2,0,0,-1.8,-13.5,2.5,8.6,13.9,46.5,16.2
Ja,Morant,MEM,23,6,2,74,174,Murray State,USA,2019,1,2,61,40,21,31.9,26.2,9.3,19.9,46.6,1.5,4.9,30.7,6.1,8.1,74.8,1,4.9,5.9,8.1,3.4,1.1,0.3,1.6,46,20,7,5,7.3,2.9,13.9,33.8,55.7,41.2
Markieff,Morris,DAL,33,6,9,81,245,Kansas,USA,2011,1,13,35,17,18,10.1,3.8,1.3,3.3,40.9,0.8,2,39.4,0.3,0.3,100,0.4,1.7,2,0.9,0.5,0.3,0.1,1.4,8.2,1,0,0.3,1.7,3.7,15,15.9,55.3,11.4
Monte,Morris,WAS,28,6,2,74,183,Iowa State,USA,2017,2,51,62,28,34,27.4,10.3,4,8.3,48,1.3,3.3,38.2,1,1.2,83.1,0.4,3,3.4,5.3,1,0.7,0.2,1.2,24,2,0,0.1,0.1,1.6,10.6,15.5,57.9,24.9
Marcus,Morris Sr.,LAC,33,6,8,80,218,Kansas,USA,2011,1,14,65,35,30,28.1,11.2,4.2,9.9,42.6,1.7,4.7,36.5,1,1.3,78.2,0.4,3.5,4,1.8,0.9,0.6,0.3,2.1,20.6,2,0,-0.2,-0.3,1.7,12.7,17.6,53.4,9
Trey,Murphy III,NOP,23,6,8,80,206,Virginia,USA,2021,1,17,79,39,40,31,14.5,4.9,10.1,48.4,2.6,6.3,40.6,2.2,2.4,90.5,0.7,2.8,3.6,1.4,0.8,1.1,0.5,2,25.2,1,0,0.5,0.5,2.5,9.2,15.9,65,6.3
Dejounte,Murray,ATL,26,6,5,77,180,Washington,USA,2016,1,29,74,38,36,36.4,20.5,8.3,17.8,46.4,1.8,5.2,34.4,2.1,2.6,83.2,0.7,4.5,5.3,6.1,2.2,1.5,0.3,1.4,39,8,1,-0.8,-1.1,1.9,12.7,23.9,54,23.9
Jamal,Murray,DEN,26,6,4,76,215,Kentucky,Canada,2016,1,7,65,43,22,32.8,20,7.3,16,45.4,2.6,6.6,39.8,2.8,3.3,83.3,0.7,3.2,4,6.2,2.2,1,0.2,1.6,35.5,5,1,4.6,6.4,2.4,9.9,25.6,57.1,26.5
Keegan,Murray,SAC,22,6,8,80,225,Iowa,USA,2022,1,4,80,47,33,29.8,12.2,4.4,9.8,45.3,2.6,6.3,41.1,0.8,1,76.5,1.1,3.5,4.6,1.2,0.8,0.8,0.5,2,22.7,4,0,1.2,1.7,3.8,12.3,15.6,59.7,5.3
Mike,Muscala,BOS,31,6,11,83,240,Bucknell,USA,2013,2,44,63,32,31,15,6.1,2.1,4.6,44.9,1.3,3.3,39.1,0.6,0.8,76.9,0.6,2.6,3.2,0.8,0.4,0.2,0.4,1.6,12.6,0,0,3.2,8.8,3.8,16.1,14.6,60.8,6.9
Svi,Mykhailiuk,CHA,26,6,7,79,205,Kansas,Ukraine,2018,2,47,32,16,16,14.6,6.9,2.4,5.4,44.5,1.3,3.1,42.4,0.8,1.2,66.7,0.5,1.2,1.7,1.7,0.8,0.5,0.1,0.7,12.4,0,0,0.6,1,3.2,7.9,19.1,58.4,16.7
Larry,Nance Jr.,NOP,30,6,8,80,245,Wyoming,USA,2015,1,27,65,34,31,21.2,6.8,2.9,4.7,61,0.2,0.6,33.3,0.8,1.2,69.6,1.6,3.8,5.4,1.8,0.6,0.9,0.6,2,19.7,3,0,2.8,6.7,8.1,18.4,11.8,64.9,11.7
Andrew,Nembhard,IND,23,6,3,75,191,Gonzaga,Canada,2022,2,31,75,32,43,27.6,9.5,3.8,8.6,44.1,1.2,3.5,35,0.7,0.8,79,0.5,2.2,2.7,4.5,1.7,0.9,0.2,2.4,21.1,5,0,-3.5,-5.9,1.6,7.8,15.9,52.8,22.2
Aaron,Nesmith,IND,23,6,5,77,215,Vanderbilt,USA,2020,1,14,73,30,43,24.9,10.1,3.5,8.1,42.7,1.6,4.3,36.6,1.6,1.9,83.8,0.8,2.9,3.8,1.3,1,0.8,0.5,3.2,19.3,1,0,-2.9,-4.7,3.3,11.9,16.8,56.6,7.3
Raul,Neto,CLE,31,6,2,74,180,None,Brazil,2013,2,47,48,31,17,10.5,3.3,1.2,2.3,51.8,0.3,0.9,28.6,0.6,0.7,91.2,0.2,0.8,1,1.6,0.5,0.4,0.1,1,7.7,0,0,0.2,1.4,2.2,7.1,13.3,62.8,22.6
Georges,Niang,PHI,30,6,7,79,230,Iowa State,USA,2016,2,50,78,51,27,19.4,8.2,2.8,6.4,44.2,2,4.9,40.1,0.5,0.6,86.7,0.2,2.1,2.4,1,0.7,0.4,0.2,1.9,13.5,0,0,1,1.3,1.3,10.9,16.2,61,7.4
Daishen,Nix,HOU,21,6,4,76,226,None,USA,Undrafted,Undrafted,Undrafted,57,15,42,16,4,1.4,4.2,34.2,0.7,2.5,28.6,0.4,0.6,66.7,0.3,1.4,1.7,2.3,1.5,0.5,0.1,1,10,0,0,-2.6,-8.2,1.8,9.1,14.9,44.7,19.1
Zeke,Nnaji,DEN,22,6,9,81,240,Arizona,USA,2020,1,22,53,34,19,13.7,5.2,2.1,3.7,56.1,0.3,1.2,26.2,0.8,1.2,64.5,1.2,1.4,2.6,0.3,0.6,0.3,0.4,2,10.5,1,0,-1.8,-5.9,8.7,9.9,14.9,62,4
Nerlens,Noel,BKN,29,6,10,82,220,Kentucky,USA,2013,1,6,17,4,13,11.5,2.1,0.8,2.1,36.1,0.1,0.1,50,0.5,0.7,66.7,0.6,2.1,2.7,0.6,0.8,0.9,0.6,1.9,10,0,0,-4.4,-16.8,4.7,18.9,11.3,42.4,7.4
Jaylen,Nowell,MIN,23,6,4,76,201,Washington,USA,2019,2,43,65,34,31,19.3,10.8,4.3,9.6,44.8,1,3.6,28.9,1.2,1.5,77.8,0.6,2.1,2.6,2,1,0.6,0.1,1.6,18.2,0,0,-0.1,0,2.8,10.7,23.8,52.7,15.6
Frank,Ntilikina,DAL,24,6,4,76,200,None,France,2017,1,8,47,20,27,12.9,2.9,1,2.8,36.4,0.4,1.4,25.4,0.5,0.7,66.7,0.1,1.2,1.3,1.2,0.6,0.3,0.1,1.4,7.2,0,0,0.7,5.1,1.1,8.6,12.5,46.1,12.7
Kendrick,Nunn,WAS,27,6,3,75,190,Oakland,USA,Undrafted,Undrafted,Undrafted,70,30,40,13.8,7.1,2.7,6.4,42.4,1.1,3.2,35.4,0.5,0.6,85.4,0.2,1.3,1.6,1.3,0.9,0.4,0.1,0.9,11.4,0,0,-0.8,-2.3,1.5,9,22.7,53,13.7
Jusuf,Nurkic,POR,28,7,1,85,290,None,Bosnia and Herzegovina,2014,1,16,52,24,28,26.8,13.3,5,9.7,51.9,0.8,2.3,36.1,2.4,3.7,66.1,2.2,6.9,9.1,2.9,2.3,0.8,0.8,3.6,31.2,18,0,0.2,0.3,8.4,25.8,21.8,58.9,16
Jordan,Nwora,IND,24,6,9,81,225,Louisville,USA,2020,2,45,62,36,26,19.2,8.7,3.1,7.2,43.6,1.4,3.4,40.8,1.1,1.4,79.1,0.8,2.9,3.7,1.4,1.1,0.4,0.2,1.2,16.1,1,0,-4.1,-10.2,4.1,14.7,18.7,56.1,10.7
Chuma,Okeke,ORL,24,6,8,80,229,Auburn,USA,2019,1,16,27,8,19,19.2,4.7,1.6,4.5,35.2,1,3.2,30.2,0.6,0.8,76.2,1,2.6,3.6,1.4,0.6,0.7,0.4,1.5,13.8,0,0,-4.4,-10.8,4.9,13.2,12.1,48.8,10.1
Josh,Okogie,PHX,24,6,4,76,213,Georgia Tech,Nigeria,2018,1,20,72,38,34,18.8,7.3,2.3,5.8,39.1,0.9,2.7,33.5,1.9,2.7,72.4,1.5,2,3.5,1.5,0.9,0.8,0.5,1.6,16.6,2,0,1.5,4.9,7.8,10.2,17.4,53.1,10.4
